Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,32,1.0,0,1.0,12793054,1.0,0.0,1,0.0,0,1.0,SAT,0,1.366,
2,1,37,0.310806035995,0,1.0,9936394,0.310806035995,0.0,1,0.0,1,1.310806035995,SAT,0,0.682,
