Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,32,1.0,0,1.0,12793054,1.0,0.0,1,0.0,0,1.0,SAT,0,1.28,
2,1,37,0.411644935608,0,1.0,9936394,0.411644935608,0.0,1,0.0,1,1.4116449356079999,SAT,0,0.632,
3,2,32,1.0,0,1.0,12793054,1.0,0.0,0,0.0,1,2.411644935608,TIMEOUT,0,1.737,
4,2,37,1.0,0,1.0,9936394,1.0,0.0,0,0.0,1,3.411644935608,TIMEOUT,0,1.683,
5,1,26,1.0,0,1.0,3962560,1.0,0.0,0,0.0,1,4.411644935608,TIMEOUT,0,1.684,
6,3,32,1.0,0,1.0,12793054,1.0,0.0,0,0.0,1,5.411644935608,TIMEOUT,0,1.659,
7,3,26,1.0,0,1.0,3962560,1.0,0.0,0,0.0,1,6.411644935608,TIMEOUT,0,1.736,
8,3,37,1.0,0,1.0,9936394,1.0,0.0,1,0.0,1,7.411644935608,SAT,0,1.612,
9,1,47,1.0,0,1.0,15488441,1.0,0.0,1,0.0,2,8.411644935607999,SAT,0,1.557,
10,4,26,1.0,0,1.0,3962560,1.0,0.0,0,0.0,2,9.411644935607999,TIMEOUT,0,1.729,
11,4,32,1.0,0,1.0,12793054,1.0,0.0,0,0.0,2,10.411644935607999,TIMEOUT,0,1.711,
12,4,37,1.0,0,1.0,9936394,1.0,0.0,0,0.0,2,11.411644935607999,TIMEOUT,0,1.733,
13,1,20,1.0,0,1.0,16725982,1.0,0.0,0,0.0,2,12.411644935607999,TIMEOUT,0,1.709,
14,5,32,1.0,0,1.0,12793054,1.0,0.0,0,0.0,2,13.411644935607999,TIMEOUT,0,1.737,
15,5,20,1.0,0,1.0,16725982,1.0,0.0,0,0.0,2,14.411644935607999,TIMEOUT,0,1.711,
16,5,47,0.6110060215,0,1.0,15488441,0.6110060215,0.0,1,0.0,2,15.022650957107999,SAT,0,1.182,
17,5,37,0.511015892029,0,1.0,9936394,0.511015892029,0.0,1,0.0,2,15.533666849137,SAT,0,1.083,
18,5,26,1.0,0,1.0,3962560,1.0,0.0,0,0.0,2,16.533666849137,TIMEOUT,0,1.737,
19,5,8,1.0,0,1.0,13638160,1.0,0.0,0,0.0,3,17.533666849137,TIMEOUT,0,1.712,
20,6,20,1.0,0,1.0,16725982,1.0,0.0,0,0.0,3,18.533666849137,TIMEOUT,0,1.707,
21,6,37,0.413951158524,0,1.0,9936394,0.413951158524,0.0,1,0.0,3,18.947618007661,SAT,0,0.983,
22,6,47,0.711969137192,0,1.0,15488441,0.711969137192,0.0,1,0.0,3,19.659587144853,SAT,0,1.284,
23,5,25,1.0,0,1.0,10760631,1.0,0.0,1,0.0,3,20.659587144853,SAT,0,1.632,
24,7,25,1.0,0,1.0,10760631,1.0,0.0,0,0.0,3,21.659587144853,TIMEOUT,0,1.736,
25,7,20,1.0,0,1.0,16725982,1.0,0.0,0,0.0,3,22.659587144853,TIMEOUT,0,1.736,
26,7,47,1.0,0,1.0,15488441,1.0,0.0,0,0.0,3,23.659587144853,TIMEOUT,0,1.736,
27,5,14,1.0,0,1.0,9364247,1.0,0.0,0,0.0,4,24.659587144853,TIMEOUT,0,1.737,
28,8,8,1.0,0,1.0,13638160,1.0,0.0,0,0.0,4,25.659587144853,TIMEOUT,0,1.734,
29,8,32,1.0,0,1.0,12793054,1.0,0.0,0,0.0,4,26.659587144853,TIMEOUT,0,1.708,
30,8,37,1.0,0,1.0,9936394,1.0,0.0,1,0.0,4,27.659587144853,SAT,0,1.61,
31,5,36,1.0,0,1.0,11997190,1.0,0.0,0,0.0,4,28.659587144853,TIMEOUT,0,1.737,
32,9,20,1.0,0,1.0,16725982,1.0,0.0,0,0.0,4,29.659587144853,TIMEOUT,0,1.733,
33,9,14,1.0,0,1.0,9364247,1.0,0.0,1,0.0,4,30.659587144853,SAT,0,1.582,
34,9,8,1.0,0,1.0,13638160,1.0,0.0,0,0.0,4,31.659587144853,TIMEOUT,0,1.737,
35,9,47,1.0,0,1.0,15488441,1.0,0.0,0,0.0,4,32.659587144853,TIMEOUT,0,1.733,
36,9,36,1.0,0,1.0,11997190,1.0,0.0,1,0.0,4,33.659587144853,SAT,0,1.481,
