Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,32,0.811083078384,0,1.0,12793054,0.811083078384,0.0,1,0.0,0,0.811083078384,SAT,0,1.187,
2,1,37,0.309971094131,0,1.0,9936394,0.309971094131,0.0,1,0.0,1,1.121054172515,SAT,0,0.682,
3,2,32,1.0,0,1.0,12793054,1.0,0.0,0,0.0,1,2.121054172515,TIMEOUT,0,1.738,
4,1,26,1.0,0,1.0,3962560,1.0,0.0,0,0.0,1,3.121054172515,TIMEOUT,0,1.712,
5,3,32,1.0,0,1.0,12793054,1.0,0.0,0,0.0,1,4.1210541725150005,TIMEOUT,0,1.737,
